No	Abbreviated Journal Title	Full Journal Title	ISSN	SUBJECT
1	2D MATER	2D MATERIALS	2053-1583	MATERIALS SCIENCE, MULTIDISCIPLINARY
2	4OR-Q J OPER RES	4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH	1619-4500	OPERATIONS RESEARCH & MANAGEMENT SCIENCE
3	AAPG BULL	AAPG BULLETIN	0149-1423	GEOSCIENCES, MULTIDISCIPLINARY
4	AAPS J	AAPS JOURNAL	1550-7416	PHARMACOLOGY & PHARMACY
5	AAPS PHARMSCITECH	AAPS PHARMSCITECH	1530-9932	PHARMACOLOGY & PHARMACY
6	ABDOM IMAGING	ABDOMINAL IMAGING	0942-8925	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
7	ACAD EMERG MED	ACADEMIC EMERGENCY MEDICINE	1069-6563	EMERGENCY MEDICINE
8	ACAD MED	ACADEMIC MEDICINE	1040-2446	EDUCATION, SCIENTIFIC DISCIPLINES; HEALTH CARE SCIENCES & SERVICES
9	ACAD PEDIATR	ACADEMIC PEDIATRICS	1876-2859	PEDIATRICS
10	ACAD RADIOL	ACADEMIC RADIOLOGY	1076-6332	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
11	ACCOUNTS CHEM RES	ACCOUNTS OF CHEMICAL RESEARCH	0001-4842	CHEMISTRY, MULTIDISCIPLINARY
12	ACI MATER J	ACI MATERIALS JOURNAL	0889-325X	CONSTRUCTION & BUILDING TECHNOLOGY; MATERIALS SCIENCE, MULTIDISCIPLINARY
13	ACI STRUCT J	ACI STRUCTURAL JOURNAL	0889-3241	MATERIALS SCIENCE, MULTIDISCIPLINARY; ENGINEERING, CIVIL; CONSTRUCTION & BUILDING TECHNOLOGY
14	ACM COMPUT SURV	ACM COMPUTING SURVEYS	0360-0300	COMPUTER SCIENCE, THEORY & METHODS
15	ACM J EMERG TECH COM	ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS	1550-4832	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE; ENGINEERING, ELECTRICAL & ELECTRONIC
16	ACM SIGCOMM COMP COM	ACM SIGCOMM COMPUTER COMMUNICATION REVIEW	0146-4833	COMPUTER SCIENCE, INFORMATION SYSTEMS
17	ACM T ALGORITHMS	ACM TRANSACTIONS ON ALGORITHMS	1549-6325	MATHEMATICS, APPLIED
18	ACM T APPL PERCEPT	ACM TRANSACTIONS ON APPLIED PERCEPTION	1544-3558	COMPUTER SCIENCE, SOFTWARE ENGINEERING
19	ACM T AUTON ADAP SYS	ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS	1556-4665	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE; COMPUTER SCIENCE, THEORY & METHODS
20	ACM T COMPUT LOG	ACM TRANSACTIONS ON COMPUTATIONAL LOGIC	1529-3785	COMPUTER SCIENCE, THEORY & METHODS; LOGIC
21	ACM T COMPUT SYST	ACM TRANSACTIONS ON COMPUTER SYSTEMS	0734-2071	COMPUTER SCIENCE, THEORY & METHODS
22	ACM T COMPUT-HUM INT	ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION	1073-0516	COMPUTER SCIENCE, INFORMATION SYSTEMS; COMPUTER SCIENCE, CYBERNETICS
23	ACM T DATABASE SYST	ACM TRANSACTIONS ON DATABASE SYSTEMS	0362-5915	COMPUTER SCIENCE, INFORMATION SYSTEMS; COMPUTER SCIENCE, SOFTWARE ENGINEERING
24	ACM T GRAPHIC	ACM TRANSACTIONS ON GRAPHICS	0730-0301	COMPUTER SCIENCE, SOFTWARE ENGINEERING
25	ACM T INFORM SYST	ACM TRANSACTIONS ON INFORMATION SYSTEMS	1046-8188	COMPUTER SCIENCE, INFORMATION SYSTEMS
26	ACM T INFORM SYST SE	ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY	1094-9224	COMPUTER SCIENCE, INFORMATION SYSTEMS
27	ACM T INTEL SYST TEC	ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY	2157-6904	COMPUTER SCIENCE, INFORMATION SYSTEMS; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
28	ACM T KNOWL DISCOV D	ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA	1556-4681	COMPUTER SCIENCE, SOFTWARE ENGINEERING; COMPUTER SCIENCE, INFORMATION SYSTEMS
29	ACM T MATH SOFTWARE	ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE	0098-3500	MATHEMATICS, APPLIED; COMPUTER SCIENCE, SOFTWARE ENGINEERING
30	ACM T MODEL COMPUT S	ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION	1049-3301	MATHEMATICS, APPLIED
31	ACM T MULTIM COMPUT	ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS	1551-6857	COMPUTER SCIENCE, THEORY & METHODS; COMPUTER SCIENCE, SOFTWARE ENGINEERING; COMPUTER SCIENCE, INFORMATION SYSTEMS
32	ACM T PROGR LANG SYS	ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS	0164-0925	COMPUTER SCIENCE, SOFTWARE ENGINEERING
33	ACM T SENSOR NETWORK	ACM TRANSACTIONS ON SENSOR NETWORKS	1550-4859	COMPUTER SCIENCE, INFORMATION SYSTEMS; TELECOMMUNICATIONS
34	ACM T SOFTW ENG METH	ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY	1049-331X	COMPUTER SCIENCE, SOFTWARE ENGINEERING
35	ACM T STORAGE	ACM TRANSACTIONS ON STORAGE	1553-3077	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE; COMPUTER SCIENCE, SOFTWARE ENGINEERING
36	ACM T WEB	ACM TRANSACTIONS ON THE WEB	1559-1131	COMPUTER SCIENCE, SOFTWARE ENGINEERING; COMPUTER SCIENCE, INFORMATION SYSTEMS
37	ACOUST PHYS+	ACOUSTICAL PHYSICS	1063-7710	ACOUSTICS
38	ACS APPL MATER INTER	ACS APPLIED MATERIALS & INTERFACES	1944-8244	MATERIALS SCIENCE, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY
39	ACS CATAL	ACS CATALYSIS	2155-5435	CHEMISTRY, PHYSICAL
40	ACS CHEM BIOL	ACS CHEMICAL BIOLOGY	1554-8929	BIOCHEMISTRY & MOLECULAR BIOLOGY
41	ACS CHEM NEUROSCI	ACS CHEMICAL NEUROSCIENCE	1948-7193	NEUROSCIENCES; CHEMISTRY, MEDICINAL; BIOCHEMISTRY & MOLECULAR BIOLOGY
42	ACS COMB SCI	ACS COMBINATORIAL SCIENCE	2156-8952	CHEMISTRY, MULTIDISCIPLINARY; CHEMISTRY, MEDICINAL; CHEMISTRY, APPLIED
43	ACS MACRO LETT	ACS MACRO LETTERS	2161-1653	POLYMER SCIENCE
44	ACS MED CHEM LETT	ACS MEDICINAL CHEMISTRY LETTERS	1948-5875	CHEMISTRY, MEDICINAL
45	ACS NANO	ACS NANO	1936-0851	CHEMISTRY, PHYSICAL; CHEMISTRY, MULTIDISCIPLINARY; MATERIALS SCIENCE, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY
46	ACS PHOTONICS	ACS PHOTONICS	2330-4022	PHYSICS, APPLIED; OPTICS; MATERIALS SCIENCE, MULTIDISCIPLINARY; NANOSCIENCE & NANOTECHNOLOGY; PHYSICS, CONDENSED MATTER
47	ACS SUSTAIN CHEM ENG	ACS SUSTAINABLE CHEMISTRY & ENGINEERING	2168-0485	GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; ENGINEERING, CHEMICAL; CHEMISTRY, MULTIDISCIPLINARY
48	ACS SYNTH BIOL	ACS SYNTHETIC BIOLOGY	2161-5063	BIOCHEMICAL RESEARCH METHODS
49	ACTA ACUST UNITED AC	ACTA ACUSTICA UNITED WITH ACUSTICA	1610-1928	ACOUSTICS
50	ACTA AGR SCAND A-AN	ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE	0906-4702	AGRICULTURE, DAIRY & ANIMAL SCIENCE
51	ACTA AGR SCAND B-S P	ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE	0906-4710	SOIL SCIENCE; AGRONOMY
52	ACTA ANAESTH SCAND	ACTA ANAESTHESIOLOGICA SCANDINAVICA	0001-5172	ANESTHESIOLOGY
53	ACTA APPL MATH	ACTA APPLICANDAE MATHEMATICAE	0167-8019	MATHEMATICS, APPLIED
54	ACTA ARITH	ACTA ARITHMETICA	0065-1036	MATHEMATICS
55	ACTA ASTRONAUT	ACTA ASTRONAUTICA	0094-5765	ENGINEERING, AEROSPACE
56	ACTA ASTRONOM	ACTA ASTRONOMICA	0001-5237	ASTRONOMY & ASTROPHYSICS
57	ACTA BIOCH BIOPH SIN	ACTA BIOCHIMICA ET BIOPHYSICA SINICA	1672-9145	BIOCHEMISTRY & MOLECULAR BIOLOGY; BIOPHYSICS
58	ACTA BIOL HUNG	ACTA BIOLOGICA HUNGARICA	0236-5383	BIOLOGY
59	ACTA BIOMATER	ACTA BIOMATERIALIA	1742-7061	ENGINEERING, BIOMEDICAL; MATERIALS SCIENCE, BIOMATERIALS
60	ACTA BIOTHEOR	ACTA BIOTHEORETICA	0001-5342	MATHEMATICAL & COMPUTATIONAL BIOLOGY
61	ACTA CHIM SINICA	ACTA CHIMICA SINICA	0567-7351	CHEMISTRY, MULTIDISCIPLINARY
62	ACTA CHIROPTEROL	ACTA CHIROPTEROLOGICA	1508-1109	ZOOLOGY
63	ACTA CRYSTALLOGR A	ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES	2053-2733	CRYSTALLOGRAPHY; CHEMISTRY, MULTIDISCIPLINARY
64	ACTA CRYSTALLOGR B	ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS	2052-5206	CRYSTALLOGRAPHY; CHEMISTRY, MULTIDISCIPLINARY
65	ACTA CRYSTALLOGR C	ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY	2053-2296	CHEMISTRY, MULTIDISCIPLINARY; CRYSTALLOGRAPHY
66	ACTA CRYSTALLOGR D	ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY	2059-7983	BIOCHEMICAL RESEARCH METHODS; BIOPHYSICS; BIOCHEMISTRY & MOLECULAR BIOLOGY; CRYSTALLOGRAPHY
67	ACTA DERM-VENEREOL	ACTA DERMATO-VENEREOLOGICA	0001-5555	DERMATOLOGY
68	ACTA DIABETOL	ACTA DIABETOLOGICA	0940-5429	ENDOCRINOLOGY & METABOLISM
69	ACTA ETHOL	ACTA ETHOLOGICA	0873-9749	ZOOLOGY
70	ACTA GEODYN GEOMATER	ACTA GEODYNAMICA ET GEOMATERIALIA	1214-9705	MINING & MINERAL PROCESSING
71	ACTA GEOL POL	ACTA GEOLOGICA POLONICA	0001-5709	GEOLOGY
72	ACTA GEOL SIN-ENGL	ACTA GEOLOGICA SINICA-ENGLISH EDITION	1000-9515	GEOSCIENCES, MULTIDISCIPLINARY
73	ACTA GEOPHYS	ACTA GEOPHYSICA	1895-7455	GEOCHEMISTRY & GEOPHYSICS
74	ACTA GEOTECH	ACTA GEOTECHNICA	1861-1125	ENGINEERING, GEOLOGICAL
75	ACTA HAEMATOL-BASEL	ACTA HAEMATOLOGICA	0001-5792	HEMATOLOGY
76	ACTA HISTOCHEM	ACTA HISTOCHEMICA	0065-1281	CELL BIOLOGY
77	ACTA HISTOCHEM CYTOC	ACTA HISTOCHEMICA ET CYTOCHEMICA	0044-5991	CELL BIOLOGY
78	ACTA ICHTHYOL PISCAT	ACTA ICHTHYOLOGICA ET PISCATORIA	0137-1592	ZOOLOGY
79	ACTA INFORM	ACTA INFORMATICA	0001-5903	COMPUTER SCIENCE, INFORMATION SYSTEMS
80	ACTA MATER	ACTA MATERIALIA	1359-6454	METALLURGY & METALLURGICAL ENGINEERING; MATERIALS SCIENCE, MULTIDISCIPLINARY
81	ACTA MATH-DJURSHOLM	ACTA MATHEMATICA	0001-5962	MATHEMATICS
82	ACTA MECH	ACTA MECHANICA	0001-5970	MECHANICS
83	ACTA MECH SINICA-PRC	ACTA MECHANICA SINICA	0567-7718	MECHANICS; ENGINEERING, MECHANICAL
84	ACTA MECH SOLIDA SIN	ACTA MECHANICA SOLIDA SINICA	0894-9166	MATERIALS SCIENCE, MULTIDISCIPLINARY; MECHANICS
