Dergi Adı,ISSN,Dergi Puanı,Teşvik Miktarı
Journal of Space Weather and Space Climate,2115-7251,36.67,1069.87
JOURNAL OF SOUND AND VIBRATION,0022-460X,63.99,2793.14
JOURNAL OF SOLUTION CHEMISTRY,0095-9782,5.07,504.05
JOURNAL OF SOLID STATE ELECTROCHEMISTRY,1432-8488,34.55,991.27
JOURNAL OF SOLID STATE CHEMISTRY,0022-4596,36.88,1078.02
JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,0928-0707,43.29,1362.89
JOURNAL OF SOLAR ENERGY ENGINEERING-TRANSACTIONS OF THE ASME,0199-6231,37.58,1105.87
JOURNAL OF SOIL AND WATER CONSERVATION,0022-4561,50.22,1751.38
JOURNAL OF SOILS AND SEDIMENTS,1439-0108,58.1,2300.73
Journal of Soil Science and Plant Nutrition,0718-9516,24.29,703.46
Journal of Software-Evolution and Process,2047-7473,17.22,586.1
JOURNAL OF SOCIOLINGUISTICS,1360-6441,68.08,3176.59
JOURNAL OF SOCIOLOGY,1440-7833,27.05,766.36
Journal of Socio-Economics,1053-5357,8.72,515.73
JOURNAL OF SOCIAL WORK PRACTICE,0265-0533,19.28,614.18
JOURNAL OF SOCIAL WORK EDUCATION,1043-7797,15.07,561.76
Journal of Social Work,1468-0173,28.34,799.19
JOURNAL OF SOCIAL SERVICE RESEARCH,0148-8376,15.49,566.06
JOURNAL OF SOCIAL PSYCHOLOGY,0022-4545,22.32,664.68
JOURNAL OF SOCIAL POLICY,0047-2794,48.68,1657.5
JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,0265-4075,51.29,1818.82
JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS,0144-0322,9.13,517.61
JOURNAL OF SOCIAL ISSUES,0022-4537,85.67,5254.83
Journal of the Society for Information Display,1071-0922,15.01,561.14
JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,0736-7236,36.65,1069.04
JOURNAL OF SMALL BUSINESS MANAGEMENT,0047-2778,25.07,720.3
JOURNAL OF SMALL ANIMAL PRACTICE,0022-4510,55.08,2076.17
Journal of Simulation,1747-7778,9.12,517.57
JOURNAL OF SLEEP RESEARCH,0962-1105,49.35,1697.42
Journal of Signal Processing Systems for Signal Image and Video Technology,1939-8018,13.82,549.74
JOURNAL OF SHOULDER AND ELBOW SURGERY,1058-2746,72.43,3625.58
JOURNAL OF SHIP RESEARCH,0022-4502,70.09,3378.9
Journal of Ship Production and Design,2158-2866,2.01,500.4
JOURNAL OF SHELLFISH RESEARCH,0730-8000,19.16,612.42
JOURNAL OF SEX RESEARCH,0022-4499,91.19,6058.02
Journal of Sexual Medicine,1743-6095,36.22,1052.6
JOURNAL OF SEX & MARITAL THERAPY,0092-623X,34.39,985.36
Journal of Sexual Aggression,1355-2600,15.76,568.98
JOURNAL OF SERVICE RESEARCH,1094-6705,46.18,1514.22
Journal of Services Marketing,0887-6045,12.82,541.18
Journal of Service Management,1757-5818,23.97,696.97
JOURNAL OF THE SERBIAN CHEMICAL SOCIETY,0352-5139,4.47,502.96
JOURNAL OF SEPARATION SCIENCE,1615-9306,34.62,993.77
Journal of Sensors,1687-725X,41.89,1295.04
JOURNAL OF SENSORY STUDIES,0887-8250,46.81,1549.54
Journal of Semiconductor Technology and Science,1598-1657,9.12,517.59
JOURNAL OF SEISMOLOGY,1383-4649,21.13,643.72
JOURNAL OF SEISMIC EXPLORATION,0963-0651,0,500
JOURNAL OF SEDIMENTARY RESEARCH,1527-1404,76.24,4052.49
JOURNAL OF SECOND LANGUAGE WRITING,1060-3743,78.77,4355.37
JOURNAL OF SEA RESEARCH,1385-1101,47.3,1577.23
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,1440-2440,91.62,6124.62
JOURNAL OF SCIENTIFIC & INDUSTRIAL RESEARCH,0022-4456,11.23,529.57
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,0022-5142,65.11,2894.23
Journal of Science Education and Technology,1059-0145,31.48,889.13
JOURNAL OF SCIENTIFIC COMPUTING,0885-7474,61.07,2540.13
JOURNAL OF SCHOOL PSYCHOLOGY,0022-4405,58.22,2310.63
JOURNAL OF SCHOOL HEALTH,0022-4391,45.97,1502.81
JOURNAL OF SCHEDULING,1094-6136,89.52,5808.17
Journal of School Nursing,1059-8405,46.72,1544.17
Journal of Saudi Chemical Society,1319-6103,13.77,549.27
JOURNAL OF SANDWICH STRUCTURES & MATERIALS,1099-6362,45.11,1456.75
JOURNAL OF SAFETY RESEARCH,0022-4375,83.6,4972.87
Journal of South Asian Development,0973-1741,0.97,500.07
JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,0895-9811,20.9,639.87
Journal of the South African Veterinary Association,1019-9128,20.91,640.01
JOURNAL OF SOUTHERN AFRICAN STUDIES,0305-7070,47.71,1600.43
Journal of the South African Institution of Civil Engineering,1021-2019,10.12,522.82
Journal of the Southern African Institute of Mining and Metallurgy,2225-6253,8.32,513.99
JOURNAL OF RUSSIAN LASER RESEARCH,1071-2836,2.6,500.77
JOURNAL OF RURAL STUDIES,0743-0167,49.48,1705.44
JOURNAL OF RURAL HEALTH,0890-765X,35.06,1009.47
Journal of Rubber Research,1511-1768,0,500
JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,0303-6758,9.31,518.53
JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,0141-0768,12.73,540.46
Journal of the Royal Army Medical Corps,0035-8665,1.86,500.33
JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE,1359-0987,56.37,2170.37
JOURNAL OF RISK AND UNCERTAINTY,0895-5646,37.11,1087.38
JOURNAL OF RISK RESEARCH,1366-9877,41.27,1265.85
Journal of Risk Model Validation,1753-9579,1.89,500.34
JOURNAL OF RISK AND INSURANCE,0022-4367,19.15,612.27
Journal of Risk,1465-1211,8,512.66
JOURNAL OF RHEUMATOLOGY,0315-162X,19.9,623.73
JOURNAL OF RHEOLOGY,0148-6055,51.6,1838.54
JOURNAL OF RETAILING,0022-4359,39.06,1167.38
Journal of Residuals Science & Technology,1544-8053,1.86,500.33
JOURNAL OF RESEARCH IN SCIENCE TEACHING,0022-4308,100,7500
JOURNAL OF RESEARCH IN READING,0141-0423,55.03,2072.67
JOURNAL OF RESEARCH IN PERSONALITY,0092-6566,52.59,1904.2
JOURNAL OF RESEARCH OF THE NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,1044-677X,60.1,2460.09
Journal of Research in Medical Sciences,1735-1995,2.87,500.97
JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,0021-8251,49.25,1691.59
Journal of Research on Educational Effectiveness,1934-5747,78.66,4341.11
JOURNAL OF RESEARCH IN CRIME AND DELINQUENCY,0022-4278,100,7500
JOURNAL OF RESEARCH ON ADOLESCENCE,1050-8392,76.79,4117.36
JOURNAL OF REPRODUCTIVE MEDICINE,0024-7758,11.24,529.67
JOURNAL OF REPRODUCTIVE AND INFANT PSYCHOLOGY,0264-6838,6.43,507.33
JOURNAL OF REPRODUCTIVE IMMUNOLOGY,0165-0378,56.5,2179.68
JOURNAL OF REPRODUCTION AND DEVELOPMENT,0916-8818,68.22,3190.61
JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM,1470-3203,15.65,567.82
JOURNAL OF RENAL NUTRITION,1051-2276,23.88,695.03
Journal of Renewable and Sustainable Energy,1941-7012,10.8,526.84
JOURNAL OF REINFORCED PLASTICS AND COMPOSITES,0731-6844,33.12,941.77
JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,0075-4102,90.4,5938.26
JOURNAL OF REHABILITATION RESEARCH AND DEVELOPMENT,0748-7711,66.14,2990.57
JOURNAL OF REHABILITATION MEDICINE,1650-1977,70.03,3372.59
JOURNAL OF REHABILITATION,0022-4154,16.37,575.94
JOURNAL OF REGULATORY ECONOMICS,0922-680X,13.98,551.15
Journal of Refugee Studies,0951-6328,47.69,1599.67
JOURNAL OF REGIONAL SCIENCE,0022-4146,85.68,5257.23
JOURNAL OF REFRACTIVE SURGERY,1081-597X,65.95,2972.35
JOURNAL OF RECONSTRUCTIVE MICROSURGERY,0743-684X,20.38,631.28
JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION,1079-9893,7.71,511.55
Journal of Real-Time Image Processing,1861-8200,30.82,869.18
JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS,0895-5638,30.34,854.81
Journal of Rational-Emotive and Cognitive-Behavior Therapy,0894-9085,29.76,838.29
JOURNAL OF RARE EARTHS,1002-0721,21.51,650.13
JOURNAL OF RAPTOR RESEARCH,0892-1016,17.27,586.81
Journal of the Ramanujan Mathematical Society,0970-1249,7.26,509.95
JOURNAL OF RAMAN SPECTROSCOPY,0377-0486,39.18,1172.53
JOURNAL OF RADIOLOGICAL PROTECTION,0952-4746,88.95,5723.71
Journal de Radiologie Diagnostique et Interventionnelle,2211-5706,0.81,500.04
JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY,0236-5731,35.02,1007.98
JOURNAL OF RADIATION RESEARCH,0449-3060,25.95,740.16
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0035-9254,32.15,910.39
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,1369-7412,100,7500
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,0964-1998,44.56,1428
Journal of the Royal Society Interface,1742-5689,29.47,829.98
JOURNAL OF QUATERNARY SCIENCE,0267-8179,59.82,2437.27
JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER,0022-4073,56.93,2212.04
JOURNAL OF QUANTITATIVE CRIMINOLOGY,0748-4518,100,7500
JOURNAL OF QUALITY TECHNOLOGY,0022-4065,94.18,6525.51
JOURNAL OF PURE AND APPLIED ALGEBRA,0022-4049,34.15,976.93
Journal of Purchasing and Supply Management,1478-4092,26.77,759.56
Journal of Public Transportation,1077-291X,23.15,680.48
Journal of Public Relations Research,1062-726X,34.06,974.08
JOURNAL OF PUBLIC POLICY & MARKETING,0743-9156,24.58,709.57
Journal of Public Policy,0143-814X,69.13,3281.31
JOURNAL OF PUBLIC HEALTH,1741-3842,45.37,1470.4
JOURNAL OF PUBLIC HEALTH POLICY,0197-5897,52.31,1885.02
JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE,1078-4659,22.74,672.68
JOURNAL OF PUBLIC HEALTH DENTISTRY,0022-4006,70.39,3409.41
Journal of Public Economic Theory,1097-3923,12.19,536.28
JOURNAL OF PUBLIC ECONOMICS,0047-2727,55.65,2117.15
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,1053-1858,100,7500
JOURNAL OF PSYCHOSOMATIC RESEARCH,0022-3999,42.94,1345.65
JOURNAL OF PSYCHOSOMATIC OBSTETRICS AND GYNECOLOGY,0167-482X,32.19,911.39
JOURNAL OF PSYCHOSOCIAL ONCOLOGY,0734-7332,19.1,611.59
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES,0279-3695,26.27,747.57
JOURNAL OF PSYCHOPHYSIOLOGY,0269-8803,11.46,531.11
JOURNAL OF PSYCHOPHARMACOLOGY,0269-8811,35.11,1011.18
JOURNAL OF PSYCHOPATHOLOGY AND BEHAVIORAL ASSESSMENT,0882-2689,38.83,1157.82
JOURNAL OF PSYCHOLINGUISTIC RESEARCH,0090-6905,27.44,776.03
Journal of Psychology in Africa,1433-0237,0.89,500.05
JOURNAL OF PSYCHOLOGY,0022-3980,13.26,544.78
JOURNAL OF PSYCHOEDUCATIONAL ASSESSMENT,0734-2829,24.57,709.42
JOURNAL OF PSYCHOACTIVE DRUGS,0279-1072,33.44,952.77
JOURNAL OF PSYCHIATRIC RESEARCH,0022-3956,52.79,1917.44
Journal of Psychiatric Practice,1527-4160,18.43,602.13
JOURNAL OF PSYCHIATRY & NEUROSCIENCE,1180-4882,81.04,4638.74
Journal of Psychiatric and Mental Health Nursing,1351-0126,49.1,1682.77
Journal of Pseudo-Differential Operators and Applications,1662-9981,14.45,555.53
Journal of Proteomics,1874-3919,19.93,624.14
JOURNAL OF PROTEOME RESEARCH,1535-3893,25.8,736.71
Journal of Prosthodontic Research,1883-1958,53.85,1989.85
Journal of Prosthodontics-Implant Esthetic and Reconstructive Dentistry,1059-941X,36,1044.47
JOURNAL OF PROSTHETIC DENTISTRY,0022-3913,46.35,1523.76
